Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C_0805_2012Metric,194.31,-110.49,180,top
C2,100nF,C_0805_2012Metric,190.246,-110.49,0,top
C3,220uF,CP_Elec_8x10,225.806,-108.204,180,top
C4,1uF,C_0805_2012Metric,218.948,-75.692,270,top
C5,10nF,C_0805_2012Metric,216.408,-75.692,270,top
C6,220uF,CP_Elec_8x10,225.806,-117.602,180,top
C7,220uF,CP_Elec_8x10,225.806,-64.77,180,top
C8,100nF,C_0805_2012Metric,193.548,-122.936,90,top
C9,100nF,C_0805_2012Metric,190.246,-81.407,180,top
C10,220uF,CP_Elec_8x10,225.806,-127,180,top
C11,100nF,C_0805_2012Metric,191.008,-136.652,180,top
C12,10nF,C_0805_2012Metric,225.806,-132.588,0,top
C13,100nF,C_0805_2012Metric,213.868,-79.756,90,top
C14,220uF,CP_Elec_8x10,225.806,-89.408,180,top
C15,100nF,C_0805_2012Metric,190.246,-105.918,180,top
C16,220uF,CP_Elec_8x10,225.806,-98.806,180,top
C17,10uF,C_0805_2012Metric,190.246,-108.204,0,top
C18,100nF,C_0805_2012Metric,192.024,-94.488,0,top
C19,10uF,C_0805_2012Metric,196.088,-94.488,180,top
C20,100nF,C_0805_2012Metric,194.31,-105.918,0,top
C21,10nF,C_0805_2012Metric,194.31,-108.204,180,top
D1,RED,LED_0805_2012Metric,155.956,-100.076,270,top
D2,SS54HF,DO-214AC,204.978,-67.31,180,top
D3,GREEN,LED_0805_2012Metric,159.004,-100.076,90,top
D4,SS54HF,DO-214AC,197.612,-119.888,90,top
D5,SS54HF,DO-214AC,227.076,-83.058,0,top
D6,GREEN,LED_0805_2012Metric,202.946,-99.822,90,top
D7,RED,LED_0805_2012Metric,200.66,-99.822,90,top
F1,Fuse,FUSE_1206_3216Metric,157.48,-71.12,0,top
F2,Fuse,FUSE_1206_3216Metric,204.978,-64.008,0,top
F3,Fuse,FUSE_1206_3216Metric,157.734,-124.46,0,top
F4,Fuse,FUSE_1206_3216Metric,157.734,-127.508,0,top
F5,Fuse,FUSE_1206_3216Metric,157.734,-130.556,0,top
F6,Fuse,FUSE_1206_3216Metric,157.734,-133.35,0,top
F7,Fuse,FUSE_1206_3216Metric,157.734,-136.398,0,top
J1,18650_IN,BatteryHolder_1x18650,173.482,-103.886,270,top
L1,Ferrite,FB_0603_1608Metric,204.978,-70.358,0,top
L2,10uH,L_10.4x10.4_H4.8,212.852,-114.046,180,top
L3,10uH,L_10.4x10.4_H4.8,214.376,-65.024,0,top
L4,10uH,L_10.4x10.4_H4.8,212.852,-125.984,0,top
L5,10uH,L_10.4x10.4_H4.8,212.852,-90.424,180,top
L6,10uH,L_10.4x10.4_H4.8,212.852,-102.362,0,top
Q1,Si2302DS,SOT-23,192.786,-74.295,180,top
Q2,Si2302DS,SOT-23,196.85,-84.963,0,top
Q3,Si2302DS,SOT-23,188.722,-84.963,0,top
Q4,MMBT5551,SOT-23,198.12,-129.794,90,top
Q5,MMBT5401,SOT-23,186.69,-129.794,90,top
R1,1K,R_0805_2012Metric,155.956,-104.14,90,top
R2,1K,R_0805_2012Metric,159.004,-104.14,270,top
R3,10K,R_0805_2012Metric,189.484,-74.295,90,top
R4,2.2R,R_0805_2012Metric,213.868,-75.692,270,top
R5,1K,R_0805_2012Metric,196.088,-74.295,270,top
R6,10K,R_0805_2012Metric,192.786,-77.597,0,top
R7,0R,R_0805_2012Metric,196.088,-78.359,270,top
R8,0R,R_0805_2012Metric,189.484,-78.359,270,top
R9,100R,R_0805_2012Metric,195.326,-81.407,0,top
R10,39K,R_0805_2012Metric,190.246,-122.936,90,top
R11,1K,R_0805_2012Metric,190.246,-118.618,90,top
R12,1K,R_0805_2012Metric,196.85,-88.011,180,top
R13,ADJ,R_0805_2012Metric,211.328,-75.692,90,top
R14,3K9,R_0805_2012Metric,211.328,-79.756,90,top
R15,ADJ,R_0805_2012Metric,216.408,-79.756,90,top
R16,12K,R_0805_2012Metric,218.948,-79.756,90,top
R17,1K,R_0805_2012Metric,202.946,-103.378,270,top
R18,1K,R_0805_2012Metric,200.66,-103.378,90,top
R19,0R1,R_1206_3216Metric,191.516,-97.028,180,top
R20,0R1,R_1206_3216Metric,196.596,-97.028,180,top
R21,1K2,R_0805_2012Metric,187.452,-100.33,90,top
R22,10K,R_0805_2012Metric,201.93,-126.238,180,top
R23,1K,R_0805_2012Metric,201.93,-128.778,0,top
R24,10K,R_0805_2012Metric,190.5,-129.794,0,top
R25,10K,R_0805_2012Metric,194.31,-129.794,0,top
R26,10K,R_0805_2012Metric,201.93,-131.064,180,top
R27,10K,R_0805_2012Metric,201.93,-133.35,180,top
R28,1K,R_0805_2012Metric,203.708,-91.948,270,top
U1,MT3608,SOT-23-6,193.548,-118.618,180,top
U2,LM2596S-ADJ,TO-263-5_TabPin3,229.616,-75.438,0,top
U3,DW01A,SOT-23-6,192.786,-84.963,270,top
U4,TP4056,ESOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm_ThermalVias,194.056,-101.6,270,top
